,pDA010.188,pRC029,EL222,BLD7.DA9,pDA312,pDA332,pDA306,,,,,,,,,
pH_1,4,4,15,0.022,0.2,2,10,,,,,,,,,
pH_2,4,4,15,0.022,0.2,0.4,10,,,,,,,,,
pH_3,4,4,15,0.022,0.2,0.08,10,,,,,,,,,
pH_4,4,4,15,0.022,0.2,0.016,10,,,,,,,,,
pH_5,4,4,15,0.022,0.2,0.003,10,,,,,,,,,
pH_6,4,4,15,0.022,0.2,-,10,,,,,,,,,
pL_1,4,4,15,0.007,0.2,2,10,,,,,,,,,
pL_2,4,4,15,0.007,0.2,0.4,10,,,,,,,,,
pL_3,4,4,15,0.007,0.2,0.08,10,,,,,,,,,
pL_4,4,4,15,0.007,0.2,0.016,10,,,,,,,,,
pL_5,4,4,15,0.007,0.2,0.003,10,,,,,,,,,
pL_6,4,4,15,0.007,0.2,-,10,,,,,,,,,
blank,,,,,,,,0.5,,,,,,,,
TJ1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
x2!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mastermix,LHS,RHS,26.4,,,,[stock],,,,,,,,,
,1uL x,10uL 4nM,40,dCas9,2.983893755,tube,353.9,,,,,,,,,
,,10uL 4nM,40,SoxS,1.476716543,tube,715.1,,,,,,,,,
,,10ul 15nM,150,EL222,8.413001912,tube,470.7,,,,,,,,,
,,10 10,100,pDA306,3.2,tube,523.6,,,,,,,,,
,,,100,pDA306,6.13,tube,157.3,,,,,,,,,
,,10 0.2,2,pDA312,0.88,tube,618.3,60,,,,,,,,
,,,,,3.31638779,water,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,LHS,RHS,18,,,,[stock],,,LHS,RHS,9,,,,[stock]
,0.75uL x,10 0.02,0.293333333,BLD7.DA9,0.528,tube,229.4,10,,0.75uL x,10 2,26.66666667,pDA332,0.758773316,tube,316.3
,,,,,17.472,water,,,,,,,,8.241226684,water,
