,pDA010.188,pRC029,119.DA9,pDA312,pDA306,pDA303,,,
c_1,4,4,2.000,0.2,10,,,4,
c_2,4,4,0.500,0.2,10,,,5,
c_3,4,4,0.100,0.2,10,,,3.003003003,
c_4,4,4,0.033,0.2,10,,,3,
c_5,4,4,0.011,0.2,10,,,3,
c_6,4,4,0.004,0.2,10,,,,
c_7,4,4,0.001,0.2,10,,,,
c_8,4,4,-,0.2,10,,,,
r_1,4,4,2.000,,,0.2,,,
r_2,4,4,0.500,,,0.2,,,
r_3,4,4,0.100,,,0.2,,,
r_4,4,4,0.033,,,0.2,,,
r_5,4,4,0.011,,,0.2,,,
r_6,4,4,0.004,,,0.2,,,
r_7,4,4,0.001,,,0.2,,,
r_8,4,4,-,,,0.2,,,
blank,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
mastermix 1,LHS,RHS,18.4,,,,,,
,1 ul X,10uL 4nM,40,dCas9,2.079683526,tube,353.9,,
,,10uL 4nM,40,SoxS,1.029226682,tube,715.1,,
,,,,,15.29108979,water,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
mastermix 2,LHS,RHS,6.9,,,,,,dilution
,0.75ul X,10uL 0.2nM,2.666666667,pDA312,1.051428572,tube,17.5,,618.3
,,10uL 10nM,133.3333333,pDA306,2.635348037,tube,349.1,,17.16571429
,,,,,3.21E+00,water,,,
,,,6.9,,,,,,dilution
,0.75 ul,10 0.2,2.6667,pDA303,1.840023,tube,10,,352.2
,,,,,5.059977,water,,,17.11
,,,,,,,,,
,,,3.6,,,,,,
titration,0.75,10 2,26.66667,119.DA9,0.364464738,tube,263.4,,
,,,,,3.235535262,,,,
