,pDA010.188,pRC029,TJ1.GFP,117.SF1,pDA306,119.DA4,,,,,,,,,,
G0R0,4,4,1,0,10,0,,,,,,,,,,
G1R0,4,4,1,16,10,0,,,,,,,,,,
G1R1,4,4,1,16,10,0.00208,,-2.681936665,,,,,,,,
G1R2,4,4,1,16,10,0.0125,,-1.903089987,,6,,,,,,
G1R3,4,4,1,16,10,0.05,,-1.301029996,,4,,,,,,
G1R4,4,4,1,16,10,0.2,,-0.698970004,,4,,,,,,
G1R5,4,4,1,16,10,0.6,,-0.22184875,,3,,,,,,
G1R6,4,4,1,16,10,1.8,,0.255272505,,3,,,,,,
G0R1,4,4,1,0,10,0.00208,,,,,,,,,,
G0R2,4,4,1,0,10,0.0125,,,,,,,,,,
G0R3,4,4,1,0,10,0.05,,,,,,,,,,
G0R4,4,4,1,0,10,0.2,,,,,,,,,,
G0R5,4,4,1,0,10,0.6,,,,,,,,,,
G0R6,4,4,1,0,10,1.8,,,,,,,,,,
blank,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mastermix,LHS,RHS,15.4,,,,[stock],,,,,,,,,
,1uL x,10uL 4nM,40,dCas9,1.741,tube,353.9,,,,,,,,,
,,10uL 4nM,40,SoxS,0.861,tube,715.1,,,,,,,,,
,,10ul 10nm,100,pDA306,4.411,tube,349.1,,,,,,,,,
,,10ul 1nm,10,TJ1.GFP,0.575,tube,268,,,,,,,,,
,,,,,7.812,water,,,,,,,,,,
,,RHS,5,,,,,,,,RHS,5.775,,,,
,0.75ul x,10ul 1.8nm,24,119.DA4,0.575,tube,208.8,,,0.75ul x,10ul 16nm,213.3333333,117.SF1,3.375,tube,365
,,,,,4.425,water,,,,,,,,2.400,water,
