,pDA010.188,pRC011,pRC012,pDA306,pDA010.EL222,BLD7.RR2,119.DA4
zero,4,5,5,10,15,0.4,0
med,4,5,5,10,15,0.4,0.2
high,4,5,5,10,15,0.4,1
x5,,,,,,,
zero_a,4,5,5,10,15,0,0
med_a,4,5,5,10,15,0,0.2
high_a,4,5,5,10,15,0,1
blank,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
mastermix,LHS,RHS,21.6,,,,[stock]
,1uL x,10uL 4nM,40,dCas9,2.441,tube,353.9
,,10uL 5nM,50,pRC011,2.526,tube,427.6
,,10uL 5nM,50,pRC012,3.628,tube,297.7
,,10ul 10nm,100,pDA306,6.187,tube,349.1
,,10uL 15nm,150,EL222,6.883,tube,470.7
,,,,,-0.066,water,
,,,,,,,
,,RHS,8.5,,,,
,0.75ul x,10ul 1nm,13.33333333,119.DA4,0.543,tube,208.8
,,,,,7.957,water,
,,,,,,,
,,,,,,,
,,,27,,,,
,0.75ul x,10ul 0.4nm,5.333333333,BLD7.RR2,0.408,tube,353
,,,,,26.592,,
