,pDA010.188,pRC029,pBT009.J1.119.DA4,pDA332,pDA320,pDA315,pDA309,pDA306
B_0,4,4,0,0.04,0.2,0.17,10,0
B_1,4,4,0.015,0.04,0.2,0.17,10,0
B_2,4,4,0.033,0.04,0.2,0.17,10,0
B_3,4,4,0.100,0.04,0.2,0.17,10,0
MM_1,4,4,0.015,0.08,0.2,0.17,10,0
HM_1,4,4,0.015,0.16,0.2,0.17,10,0
LH_1,4,4,0.015,0.04,0.2,0.34,10,0
MH_1,4,4,0.015,0.08,0.2,0.34,10,0
HH_1,4,4,0.015,0.16,0.2,0.34,10,0
LL_1,4,4,0.015,0.04,0.2,0.085,10,0
ML_1,4,4,0.015,0.08,0.2,0.085,10,0
HL_1,4,4,0.015,0.16,0.2,0.085,10,0
MM_0,4,4,0.000,0.08,0.2,0.17,10,0
HM_0,4,4,0.000,0.16,0.2,0.17,10,0
LH_0,4,4,0.000,0.04,0.2,0.34,10,0
MH_0,4,4,0.000,0.08,0.2,0.34,10,0
HH_0,4,4,0.000,0.16,0.2,0.34,10,0
LL_0,4,4,0.000,0.04,0.2,0.085,10,0
ML_0,4,4,0.000,0.08,0.2,0.085,10,0
HL_0,4,4,0.000,0.16,0.2,0.085,10,0
cL_0,4,4,0,0,0,0,0,0.04
cL_1,4,4,0.015,0,0,0,0,0.04
cM_0,4,4,0,0,0,0,0,0.08
cM_1,4,4,0.015,0,0,0,0,0.08
cH_0,4,4,0,0,0,0,0,0.16
cH_1,4,4,0.015,0,0,0,0,0.16
cnt,0,0,0,0,0,0,10,0
blank,0,0,0,0,0,0,0,0
