,pBT009.J1.119.DA9,pDA312,pDA317,pDA311,pDA316,pDA310,pDA315,pDA010.188,pRC029,pDA309
1p_A_pos,0.015,0.2,0.2,,,,,4,4,10
1p_A_neg,0,0.2,0.2,,,,,4,4,10
2p_eq_A_pos,0.015,0.2,0.2,0.2,0.2,,,4,4,10
2p_eq_A_neg,0,0.2,0.2,0.2,0.2,,,4,4,10
2p_half_A_pos,0.015,0.1,0.1,0.1,0.1,,,4,4,10
2p_half_A_neg,0,0.1,0.1,0.1,0.1,,,4,4,10
3p_eq_A_pos,0.015,0.2,0.2,0.2,0.2,0.2,0.2,4,4,10
3p_eq_A_neg,0,0.2,0.2,0.2,0.2,0.2,0.2,4,4,10
3p_third_A_pos,0.015,0.067,0.067,0.067,0.067,0.067,0.067,4,4,10
3p_third_A_neg,0,0.067,0.067,0.067,0.067,0.067,0.067,4,4,10
1p_B_pos,0.045,0.1,0.1,,,,,4,4,10
1p_B_neg,0,0.1,0.1,,,,,4,4,10
2p_eq_B_pos,0.045,0.1,0.1,0.1,0.1,,,4,4,10
2p_eq_B_neg,0,0.1,0.1,0.1,0.1,,,4,4,10
2p_half_B_pos,0.045,0.05,0.05,0.05,0.05,,,4,4,10
2p_half_B_neg,0,0.05,0.05,0.05,0.05,,,4,4,10
3p_eq_B_pos,0.045,0.1,0.1,0.1,0.1,0.1,0.1,4,4,10
3p_eq_B_neg,0,0.1,0.1,0.1,0.1,0.1,0.1,4,4,10
3p_third_B_pos,0.045,0.033,0.033,0.033,0.033,0.033,0.033,4,4,10
3p_third_B_neg,0,0.033,0.033,0.033,0.033,0.033,0.033,4,4,10
