Name,pBT009.J1.119.DA9,pDA312,pDA317,pDA311,pDA316,pDA310,pDA315,pDA313,pDA318,pDA010.188,pRC029,pDA309,pDA303,pBT009.J1.119.DA4,pDA332,pDA320,pDA306
1p_A_pos,0.015,0.2,0.2,,,,,,,4,4,10,,,,,
1p_A_neg,0,0.2,0.2,,,,,,,4,4,10,,,,,
2p_eq_A_pos,0.015,0.2,0.2,0.2,0.2,,,,,4,4,10,,,,,
2p_eq_A_neg,0,0.2,0.2,0.2,0.2,,,,,4,4,10,,,,,
2p_half_A_pos,0.015,0.1,0.1,0.1,0.1,,,,,4,4,10,,,,,
2p_half_A_neg,0,0.1,0.1,0.1,0.1,,,,,4,4,10,,,,,
3p_eq_A_pos,0.015,0.2,0.2,0.2,0.2,0.2,0.2,,,4,4,10,,,,,
3p_eq_A_neg,0,0.2,0.2,0.2,0.2,0.2,0.2,,,4,4,10,,,,,
3p_third_A_pos,0.015,0.067,0.067,0.067,0.067,0.067,0.067,,,4,4,10,,,,,
3p_third_A_neg,0,0.067,0.067,0.067,0.067,0.067,0.067,,,4,4,10,,,,,
4p_eq_A_pos,0.015,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,4,10,,,,,
4p_eq_A_neg,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,4,10,,,,,
4p_fourth_A_pos,0.015,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,4,10,,,,,
4p_fourth_A_neg,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,4,10,,,,,
CRISPRa,0.015,,,,,,,,,4,4,,0.2,,,,
leak,0,,,,,,,,,4,4,,0.2,,,,
LH_0,,,,,,,0.34,,,4,4,10,,0,0.04,0.2,
LH_1,,,,,,,0.34,,,4,4,10,,0.015,0.04,0.2,
LH_2,,,,,,,0.34,,,4,4,10,,0.03,0.04,0.2,
LH_3,,,,,,,0.34,,,4,4,10,,0.06,0.04,0.2,
lowLH_0,,,,,,,0.34,,,4,4,10,,0,0.04,0.05,
lowLH_1,,,,,,,0.34,,,4,4,10,,0.015,0.04,0.05,
highLH_0,,,,,,,0.34,,,4,4,10,,0,0.04,0.8,
highLH_1,,,,,,,0.34,,,4,4,10,,0.015,0.04,0.8,
c_1,0.015,,,,,,,,,4,4,,,,,,0.04
c_0,0,,,,,,,,,4,4,,,,,,0.04
blank,,,,,,,,,,,,,,,,,
