Name,pDA010.188,pRC029,pBT009.J1.119.DA4,pDA332,pDA320,pDA315,pDA335,pDA336,pDA306,pDA303,pDA309,pDA305
c0_0,4,4,0,,,,,,10,,,
c0_1,4,4,0.015,,,,,,10,,,
c1_0,4,4,0,0.04,,,,,,10,,
c1_1,4,4,0.015,0.04,,,,,,10,,
c3_0,4,4,0,0.04,0.2,0.34,,,,,10,
c3_1,4,4,0.015,0.04,0.2,0.34,,,,,10,
c5_0,4,4,0,0.04,0.2,0.34,1.2,0.28,,,,10
c5_1,4,4,0.015,0.04,0.2,0.34,1.2,0.28,,,,10
d5_0,4,4,0,0.04,0.2,0.34,1.2,0.093,,,,10
d5_1,4,4,0.015,0.04,0.2,0.34,1.2,0.093,,,,10
e5_0,4,4,0,0.04,0.2,0.34,1.2,0.032,,,,10
e5_1,4,4,0.015,0.04,0.2,0.34,1.2,0.032,,,,10
blank,,,,,,,,,,,,
