,Biotin,ATP,CoA,Mg-Act,HCT,Kan,formate,bicarbonate,NADH,Pyruvate,Malate,KOH,polyphosphate,12_pyc_1x,12_no_pyc_1x,5_std_1x,pyc_20x,no_pyc_20x,std_20x
P++,1,1,1,2,10,1,15,10,1,1,,30,5,10,,,,,
P+-,1,1,1,2,10,1,15,10,1,1,,30,0,10,,,,,
P-+,1,0,1,2,10,1,15,10,1,1,,30,5,10,,,,,
P--,1,0,1,2,10,1,15,10,1,1,,30,0,10,,,,,
N++,1,1,1,2,10,1,15,10,1,1,,30,5,,10,,,,
N+-,1,1,1,2,10,1,15,10,1,1,,30,0,,10,,,,
N-+,1,0,1,2,10,1,15,10,1,1,,30,5,,10,,,,
N--,1,0,1,2,10,1,15,10,1,1,,30,0,,10,,,,
20x-P++,1,1,1,2,10,1,15,10,1,1,,30,5,,,,10,,
20x-P+-,1,1,1,2,10,1,15,10,1,1,,30,0,,,,10,,
20x-P-+,1,0,1,2,10,1,15,10,1,1,,30,5,,,,10,,
20x-P--,1,0,1,2,10,1,15,10,1,1,,30,0,,,,10,,
20x-N++,1,1,1,2,10,1,15,10,1,1,,30,5,,,,,10,
20x-N+-,1,1,1,2,10,1,15,10,1,1,,30,0,,,,,10,
20x-N-+,1,0,1,2,10,1,15,10,1,1,,30,5,,,,,10,
20x-N--,1,0,1,2,10,1,15,10,1,1,,30,0,,,,,10,
Std_1,,,,,,,,,,0.5,0.5,,,,,10,,,
Std_2,,,,,,,,,,0.25,0.25,,,,,10,,,
Std_3,,,,,,,,,,0.125,0.125,,,,,10,,,
Std_4,,,,,,,,,,0.0675,0.0675,,,,,10,,,
Std_5,,,,,,,,,,,,,,,,10,,,
20x-Std_1,,,,,,,,,,0.5,0.5,,,,,,,,10
20x-Std_2,,,,,,,,,,0.25,0.25,,,,,,,,10
20x-Std_3,,,,,,,,,,0.125,0.125,,,,,,,,10
20x-Std_4,,,,,,,,,,0.0675,0.0675,,,,,,,,10
20x-Std_5,,,,,,,,,,,,,,,,,,,10
