,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,old_GFP_0,pyc,,,,,,,,,,,,,,,,,,,,,,
B,old_GFP_1,pyc,,,,,,,,,,,,,,,,,,,,,,
C,old_GFP_2,pyc,,,,,,,,,,,,,,,,,,,,,,
D,old_GFP_3,pyc,,,,,,,,,,,,,,,,,,,,,,
E,old_GFP_4,,,,,,,,,,,,,,,,,,,,,,,
F,new_GFP_0,no_pyc,,,,,,,,,,,,,,,,,,,,,,
G,new_GFP_1,no_pyc,,,,,,,,,,,,,,,,,,,,,,
H,new_GFP_2,no_pyc,,,,,,,,,,,,,,,,,,,,,,
I,new_GFP_3,no_pyc,,,,,,,,,,,,,,,,,,,,,,
J,new_GFP_4,,,,,,,,,,,,,,,,,,,,,,,
K,std_0,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
