Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,C1,Destination[1],A1,1200.0
Source[1],384PP_AQ_BP,C6,Destination[1],A1,625.0
Source[1],384PP_AQ_BP,C7,Destination[1],A1,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A1,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A1,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A2,1425.0
Source[1],384PP_AQ_BP,C6,Destination[1],A2,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],A2,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A2,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A2,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A3,1500.0
Source[1],384PP_AQ_BP,C6,Destination[1],A3,325.0
Source[1],384PP_AQ_BP,C7,Destination[1],A3,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A3,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A3,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A4,1600.0
Source[1],384PP_AQ_BP,C6,Destination[1],A4,225.0
Source[1],384PP_AQ_BP,C7,Destination[1],A4,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A4,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A4,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A5,1625.0
Source[1],384PP_AQ_BP,C6,Destination[1],A5,200.0
Source[1],384PP_AQ_BP,C7,Destination[1],A5,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A5,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A5,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A6,1675.0
Source[1],384PP_AQ_BP,C6,Destination[1],A6,150.0
Source[1],384PP_AQ_BP,C7,Destination[1],A6,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A6,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A6,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A7,1700.0
Source[1],384PP_AQ_BP,C6,Destination[1],A7,125.0
Source[1],384PP_AQ_BP,C7,Destination[1],A7,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A7,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A7,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A8,1750.0
Source[1],384PP_AQ_BP,C6,Destination[1],A8,75.0
Source[1],384PP_AQ_BP,C7,Destination[1],A8,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A8,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A8,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A9,1775.0
Source[1],384PP_AQ_BP,C6,Destination[1],A9,50.0
Source[1],384PP_AQ_BP,C7,Destination[1],A9,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A9,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A9,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A10,1800.0
Source[1],384PP_AQ_BP,C6,Destination[1],A10,25.0
Source[1],384PP_AQ_BP,C7,Destination[1],A10,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A10,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A10,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A11,1825.0
Source[1],384PP_AQ_BP,C7,Destination[1],A11,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A11,325.0
Source[1],384PP_AQ_BP,C17,Destination[1],A11,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],A12,900.0
Source[1],384PP_AQ_BP,C6,Destination[1],A12,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],A12,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],A12,850.0
Source[1],384PP_AQ_BP,C17,Destination[1],A12,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B1,1100.0
Source[1],384PP_AQ_BP,C6,Destination[1],B1,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B1,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],B1,650.0
Source[1],384PP_AQ_BP,C17,Destination[1],B1,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B2,1325.0
Source[1],384PP_AQ_BP,C6,Destination[1],B2,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B2,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],B2,425.0
Source[1],384PP_AQ_BP,C17,Destination[1],B2,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B3,1525.0
Source[1],384PP_AQ_BP,C6,Destination[1],B3,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B3,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],B3,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],B3,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B4,1650.0
Source[1],384PP_AQ_BP,C6,Destination[1],B4,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B4,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],B4,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],B4,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B5,1700.0
Source[1],384PP_AQ_BP,C6,Destination[1],B5,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B5,175.0
Source[1],384PP_AQ_BP,C15,Destination[1],B5,50.0
Source[1],384PP_AQ_BP,C17,Destination[1],B5,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B6,1225.0
Source[1],384PP_AQ_BP,C6,Destination[1],B6,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B6,175.0
Source[1],384PP_AQ_BP,C16,Destination[1],B6,525.0
Source[1],384PP_AQ_BP,C17,Destination[1],B6,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B7,1750.0
Source[1],384PP_AQ_BP,C6,Destination[1],B7,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B7,175.0
Source[1],384PP_AQ_BP,C17,Destination[1],B7,175.0
Source[1],384PP_AQ_BP,C1,Destination[1],B8,1050.0
Source[1],384PP_AQ_BP,C6,Destination[1],B8,400.0
Source[1],384PP_AQ_BP,C7,Destination[1],B8,175.0
