Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,C2,Destination[1],A1,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],A1,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A1,75.0
Source[1],384PP_AQ_BP,B1,Destination[1],A1,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A1,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A2,1600.0
Source[1],384PP_AQ_BP,C17,Destination[1],A2,75.0
Source[1],384PP_AQ_BP,B6,Destination[1],A2,150.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A3,1800.0
Source[1],384PP_AQ_BP,C15,Destination[1],A3,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A3,75.0
Source[1],384PP_AQ_BP,B8,Destination[1],A3,225.0
Source[1],384PP_AQ_BP,B2,Destination[1],A3,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A4,1675.0
Source[1],384PP_AQ_BP,C15,Destination[1],A4,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,B9,Destination[1],A4,175.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,425.0
Source[1],384PP_AQ_BP,C2,Destination[1],A5,1525.0
Source[1],384PP_AQ_BP,C15,Destination[1],A5,150.0
Source[1],384PP_AQ_BP,B7,Destination[1],A5,150.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A5,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A6,825.0
Source[1],384PP_AQ_BP,C15,Destination[1],A6,150.0
Source[1],384PP_AQ_BP,C18,Destination[1],A6,850.0
Source[1],384PP_AQ_BP,B1,Destination[1],A6,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A6,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A7,1475.0
Source[1],384PP_AQ_BP,C15,Destination[1],A7,150.0
Source[1],384PP_AQ_BP,C18,Destination[1],A7,200.0
Source[1],384PP_AQ_BP,B1,Destination[1],A7,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A7,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A8,1625.0
Source[1],384PP_AQ_BP,C15,Destination[1],A8,150.0
Source[1],384PP_AQ_BP,C18,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,B1,Destination[1],A8,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A8,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A9,1250.0
Source[1],384PP_AQ_BP,C15,Destination[1],A9,150.0
Source[1],384PP_AQ_BP,C19,Destination[1],A9,425.0
Source[1],384PP_AQ_BP,B1,Destination[1],A9,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A9,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A10,1625.0
Source[1],384PP_AQ_BP,C15,Destination[1],A10,150.0
Source[1],384PP_AQ_BP,C19,Destination[1],A10,50.0
Source[1],384PP_AQ_BP,B1,Destination[1],A10,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A10,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A11,1625.0
Source[1],384PP_AQ_BP,C15,Destination[1],A11,150.0
Source[1],384PP_AQ_BP,C20,Destination[1],A11,50.0
Source[1],384PP_AQ_BP,B1,Destination[1],A11,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A11,250.0
Source[1],384PP_AQ_BP,C2,Destination[1],A12,1675.0
Source[1],384PP_AQ_BP,C15,Destination[1],A12,150.0
Source[1],384PP_AQ_BP,B1,Destination[1],A12,425.0
Source[1],384PP_AQ_BP,B2,Destination[1],A12,250.0
