Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,C4,Destination[1],A1,1400.0
Source[1],384PP_AQ_BP,C15,Destination[1],A1,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A1,225.0
Source[1],384PP_AQ_BP,D5,Destination[1],A1,550.0
Source[1],384PP_AQ_BP,C4,Destination[1],A4,1300.0
Source[1],384PP_AQ_BP,C15,Destination[1],A4,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,D6,Destination[1],A4,600.0
Source[1],384PP_AQ_BP,D10,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,C4,Destination[1],A7,1425.0
Source[1],384PP_AQ_BP,C15,Destination[1],A7,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,D7,Destination[1],A7,550.0
Source[1],384PP_AQ_BP,D11,Destination[1],A7,200.0
Source[1],384PP_AQ_BP,C4,Destination[1],A10,1350.0
Source[1],384PP_AQ_BP,C15,Destination[1],A10,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A10,550.0
Source[1],384PP_AQ_BP,D12,Destination[1],A10,275.0
Source[1],384PP_AQ_BP,C4,Destination[1],B1,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],B1,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],B1,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,D5,Destination[1],B1,550.0
Source[1],384PP_AQ_BP,C4,Destination[1],B4,1550.0
Source[1],384PP_AQ_BP,C15,Destination[1],B4,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],B4,100.0
Source[1],384PP_AQ_BP,D6,Destination[1],B4,600.0
Source[1],384PP_AQ_BP,D10,Destination[1],B4,25.0
Source[1],384PP_AQ_BP,C4,Destination[1],B7,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],B7,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],B7,100.0
Source[1],384PP_AQ_BP,D7,Destination[1],B7,550.0
Source[1],384PP_AQ_BP,D11,Destination[1],B7,25.0
Source[1],384PP_AQ_BP,C4,Destination[1],B10,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],B10,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],B10,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],B10,550.0
Source[1],384PP_AQ_BP,D12,Destination[1],B10,25.0
Source[1],384PP_AQ_BP,C4,Destination[1],C1,1400.0
Source[1],384PP_AQ_BP,C15,Destination[1],C1,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],C1,100.0
Source[1],384PP_AQ_BP,D2,Destination[1],C1,225.0
Source[1],384PP_AQ_BP,D5,Destination[1],C1,550.0
Source[1],384PP_AQ_BP,C4,Destination[1],C4,1300.0
Source[1],384PP_AQ_BP,C15,Destination[1],C4,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],C4,100.0
Source[1],384PP_AQ_BP,D6,Destination[1],C4,600.0
Source[1],384PP_AQ_BP,D14,Destination[1],C4,275.0
Source[1],384PP_AQ_BP,C4,Destination[1],C7,1425.0
Source[1],384PP_AQ_BP,C15,Destination[1],C7,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],C7,100.0
Source[1],384PP_AQ_BP,D7,Destination[1],C7,550.0
Source[1],384PP_AQ_BP,D15,Destination[1],C7,200.0
Source[1],384PP_AQ_BP,C4,Destination[1],C10,1350.0
Source[1],384PP_AQ_BP,C15,Destination[1],C10,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],C10,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],C10,550.0
Source[1],384PP_AQ_BP,D16,Destination[1],C10,275.0
Source[1],384PP_AQ_BP,C4,Destination[1],D1,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],D1,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],D1,100.0
Source[1],384PP_AQ_BP,D2,Destination[1],D1,25.0
Source[1],384PP_AQ_BP,D5,Destination[1],D1,550.0
Source[1],384PP_AQ_BP,C4,Destination[1],D4,1550.0
Source[1],384PP_AQ_BP,C15,Destination[1],D4,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],D4,100.0
Source[1],384PP_AQ_BP,D6,Destination[1],D4,600.0
Source[1],384PP_AQ_BP,D14,Destination[1],D4,25.0
Source[1],384PP_AQ_BP,C4,Destination[1],D7,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],D7,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],D7,100.0
Source[1],384PP_AQ_BP,D7,Destination[1],D7,550.0
Source[1],384PP_AQ_BP,D15,Destination[1],D7,25.0
Source[1],384PP_AQ_BP,C4,Destination[1],D10,1600.0
Source[1],384PP_AQ_BP,C15,Destination[1],D10,225.0
Source[1],384PP_AQ_BP,C17,Destination[1],D10,100.0
