Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A2,Destination[1],A1,400.0
Source[1],384PP_AQ_BP,C15,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A1,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,B16,Destination[1],A1,1500.0
Source[1],384PP_AQ_BP,B17,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,E2,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A2,Destination[1],A2,425.0
Source[1],384PP_AQ_BP,C15,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A2,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,B16,Destination[1],A2,1500.0
Source[1],384PP_AQ_BP,B17,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,A2,Destination[1],A3,325.0
Source[1],384PP_AQ_BP,C15,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A3,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,B16,Destination[1],A3,1500.0
Source[1],384PP_AQ_BP,B17,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,E1,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,A2,Destination[1],A4,1450.0
Source[1],384PP_AQ_BP,C15,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,B14,Destination[1],A4,375.0
Source[1],384PP_AQ_BP,B15,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,E1,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,A2,Destination[1],A5,1550.0
Source[1],384PP_AQ_BP,C15,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A5,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,B14,Destination[1],A5,375.0
Source[1],384PP_AQ_BP,B15,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A6,1525.0
Source[1],384PP_AQ_BP,C15,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],A6,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,B14,Destination[1],A6,375.0
Source[1],384PP_AQ_BP,B15,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,E2,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,A3,Destination[1],A7,1375.0
Source[1],384PP_AQ_BP,C14,Destination[1],A7,250.0
Source[1],384PP_AQ_BP,C15,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,B14,Destination[1],A7,375.0
Source[1],384PP_AQ_BP,B15,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,E1,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,F3,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A8,1400.0
Source[1],384PP_AQ_BP,C14,Destination[1],A8,250.0
Source[1],384PP_AQ_BP,C15,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,B14,Destination[1],A8,375.0
Source[1],384PP_AQ_BP,B15,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,B20,Destination[1],A8,75.0
Source[1],384PP_AQ_BP,E1,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,F3,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],A9,2000.0
Source[1],384PP_AQ_BP,C15,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],A9,75.0
Source[1],384PP_AQ_BP,D8,Destination[1],A9,225.0
Source[1],384PP_AQ_BP,D12,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,A3,Destination[1],B1,25.0
Source[1],384PP_AQ_BP,C15,Destination[1],B1,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],B1,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],B1,225.0
