Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A3,Destination[1],D1,1425.0
Source[1],384PP_AQ_BP,F1,Destination[1],D1,600.0
Source[1],384PP_AQ_BP,F2,Destination[1],D1,475.0
Source[1],384PP_AQ_BP,A3,Destination[1],D2,2025.0
Source[1],384PP_AQ_BP,F2,Destination[1],D2,475.0
Source[1],384PP_AQ_BP,A3,Destination[1],D3,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],D3,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],D3,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],D3,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],D3,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],D4,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],D4,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],D4,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],D4,275.0
Source[1],384PP_AQ_BP,B20,Destination[1],D4,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],D5,500.0
Source[1],384PP_AQ_BP,C15,Destination[1],D5,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],D5,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],D5,50.0
Source[1],384PP_AQ_BP,B18,Destination[1],D5,1325.0
Source[1],384PP_AQ_BP,B19,Destination[1],D5,250.0
Source[1],384PP_AQ_BP,A3,Destination[1],D6,500.0
Source[1],384PP_AQ_BP,C15,Destination[1],D6,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],D6,275.0
Source[1],384PP_AQ_BP,B18,Destination[1],D6,1325.0
Source[1],384PP_AQ_BP,B19,Destination[1],D6,250.0
Source[1],384PP_AQ_BP,B20,Destination[1],D6,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],D7,1425.0
Source[1],384PP_AQ_BP,F1,Destination[1],D7,600.0
Source[1],384PP_AQ_BP,F2,Destination[1],D7,475.0
Source[1],384PP_AQ_BP,A3,Destination[1],D8,2025.0
Source[1],384PP_AQ_BP,F2,Destination[1],D8,475.0
Source[1],384PP_AQ_BP,A3,Destination[1],D9,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],D9,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],D9,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],D9,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],D9,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],D10,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],D10,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],D10,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],D10,275.0
Source[1],384PP_AQ_BP,B20,Destination[1],D10,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],D11,500.0
Source[1],384PP_AQ_BP,C15,Destination[1],D11,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],D11,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],D11,50.0
Source[1],384PP_AQ_BP,B18,Destination[1],D11,1325.0
Source[1],384PP_AQ_BP,B19,Destination[1],D11,250.0
Source[1],384PP_AQ_BP,A3,Destination[1],D12,500.0
Source[1],384PP_AQ_BP,C15,Destination[1],D12,100.0
Source[1],384PP_AQ_BP,D8,Destination[1],D12,275.0
Source[1],384PP_AQ_BP,B18,Destination[1],D12,1325.0
Source[1],384PP_AQ_BP,B19,Destination[1],D12,250.0
Source[1],384PP_AQ_BP,B20,Destination[1],D12,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],E1,775.0
Source[1],384PP_AQ_BP,C15,Destination[1],E1,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],E1,150.0
Source[1],384PP_AQ_BP,B4,Destination[1],E1,900.0
Source[1],384PP_AQ_BP,D1,Destination[1],E1,25.0
Source[1],384PP_AQ_BP,F3,Destination[1],E1,550.0
Source[1],384PP_AQ_BP,A3,Destination[1],E2,1275.0
Source[1],384PP_AQ_BP,C15,Destination[1],E2,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],E2,150.0
Source[1],384PP_AQ_BP,B4,Destination[1],E2,900.0
Source[1],384PP_AQ_BP,D1,Destination[1],E2,25.0
Source[1],384PP_AQ_BP,F3,Destination[1],E2,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],E3,1275.0
Source[1],384PP_AQ_BP,C15,Destination[1],E3,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],E3,150.0
Source[1],384PP_AQ_BP,B4,Destination[1],E3,900.0
Source[1],384PP_AQ_BP,D1,Destination[1],E3,25.0
Source[1],384PP_AQ_BP,F4,Destination[1],E3,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],E4,1275.0
Source[1],384PP_AQ_BP,C15,Destination[1],E4,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],E4,150.0
Source[1],384PP_AQ_BP,B4,Destination[1],E4,900.0
Source[1],384PP_AQ_BP,D1,Destination[1],E4,25.0
Source[1],384PP_AQ_BP,F5,Destination[1],E4,50.0
Source[1],384PP_AQ_BP,A3,Destination[1],E5,1325.0
Source[1],384PP_AQ_BP,C15,Destination[1],E5,100.0
Source[1],384PP_AQ_BP,C17,Destination[1],E5,150.0
Source[1],384PP_AQ_BP,B4,Destination[1],E5,900.0
Source[1],384PP_AQ_BP,D1,Destination[1],E5,25.0
Source[1],384PP_AQ_BP,A3,Destination[1],F1,1575.0
Source[1],384PP_AQ_BP,C7,Destination[1],F1,225.0
Source[1],384PP_AQ_BP,C15,Destination[1],F1,100.0
