Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A2,Destination[1],F1,2000.0
Source[1],384PP_AQ_BP,B1,Destination[1],F1,75.0
Source[1],384PP_AQ_BP,B3,Destination[1],F1,550.0
Source[1],384PP_AQ_BP,B9,Destination[1],F1,125.0
Source[1],384PP_AQ_BP,C3,Destination[1],F1,75.0
Source[1],384PP_AQ_BP,D7,Destination[1],F1,100.0
Source[1],384PP_AQ_BP,D10,Destination[1],F1,75.0
Source[1],384PP_AQ_BP,A2,Destination[1],F2,2075.0
Source[1],384PP_AQ_BP,B1,Destination[1],F2,75.0
Source[1],384PP_AQ_BP,B3,Destination[1],F2,550.0
Source[1],384PP_AQ_BP,B9,Destination[1],F2,125.0
Source[1],384PP_AQ_BP,D7,Destination[1],F2,100.0
Source[1],384PP_AQ_BP,D10,Destination[1],F2,75.0
Source[1],384PP_AQ_BP,A2,Destination[1],F3,1575.0
Source[1],384PP_AQ_BP,B1,Destination[1],F3,75.0
Source[1],384PP_AQ_BP,B8,Destination[1],F3,900.0
Source[1],384PP_AQ_BP,B9,Destination[1],F3,125.0
Source[1],384PP_AQ_BP,C3,Destination[1],F3,250.0
Source[1],384PP_AQ_BP,D7,Destination[1],F3,50.0
Source[1],384PP_AQ_BP,D10,Destination[1],F3,25.0
Source[1],384PP_AQ_BP,A2,Destination[1],F4,1825.0
Source[1],384PP_AQ_BP,B1,Destination[1],F4,75.0
Source[1],384PP_AQ_BP,B8,Destination[1],F4,900.0
Source[1],384PP_AQ_BP,B9,Destination[1],F4,125.0
Source[1],384PP_AQ_BP,D7,Destination[1],F4,50.0
Source[1],384PP_AQ_BP,D10,Destination[1],F4,25.0
Source[1],384PP_AQ_BP,A2,Destination[1],G1,1525.0
Source[1],384PP_AQ_BP,B1,Destination[1],G1,75.0
Source[1],384PP_AQ_BP,B8,Destination[1],G1,900.0
Source[1],384PP_AQ_BP,B9,Destination[1],G1,125.0
Source[1],384PP_AQ_BP,C3,Destination[1],G1,75.0
Source[1],384PP_AQ_BP,D6,Destination[1],G1,50.0
Source[1],384PP_AQ_BP,D7,Destination[1],G1,100.0
Source[1],384PP_AQ_BP,D9,Destination[1],G1,75.0
Source[1],384PP_AQ_BP,D10,Destination[1],G1,75.0
Source[1],384PP_AQ_BP,A2,Destination[1],G2,1600.0
