Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A2,2400.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A2,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A2,150.0
Source[1],384PP_AQ_BP,D1,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A2,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,2300.0
Source[1],384PP_AQ_BP,B1,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A3,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A3,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A3,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],A4,2250.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A4,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A4,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,D2,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],A5,2225.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A5,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A5,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A5,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A5,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],A6,2225.0
Source[1],384PP_AQ_BP,B1,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A6,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A6,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A6,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],A7,2175.0
Source[1],384PP_AQ_BP,B1,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A7,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A7,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A7,75.0
Source[1],384PP_AQ_BP,D2,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A7,150.0
Source[1],384PP_AQ_BP,A1,Destination[1],A8,2325.0
Source[1],384PP_AQ_BP,B1,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A8,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A8,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A8,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],A9,2325.0
Source[1],384PP_AQ_BP,B1,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A9,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A9,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A9,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A9,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A9,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],A10,2275.0
Source[1],384PP_AQ_BP,B1,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],A10,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],A10,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],A10,75.0
Source[1],384PP_AQ_BP,D2,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,D3,Destination[1],A10,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],B2,2300.0
Source[1],384PP_AQ_BP,B1,Destination[1],B2,100.0
Source[1],384PP_AQ_BP,B3,Destination[1],B2,650.0
Source[1],384PP_AQ_BP,B9,Destination[1],B2,150.0
Source[1],384PP_AQ_BP,C2,Destination[1],B2,100.0
Source[1],384PP_AQ_BP,D1,Destination[1],B2,25.0
