Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,2750.0
Source[1],384PP_AQ_BP,B1,Destination[1],A1,75.0
Source[1],384PP_AQ_BP,B5,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,B9,Destination[1],A1,125.0
Source[1],384PP_AQ_BP,D1,Destination[1],A1,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,2675.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,75.0
Source[1],384PP_AQ_BP,B6,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,B9,Destination[1],A2,125.0
Source[1],384PP_AQ_BP,D1,Destination[1],A2,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A2,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,2550.0
Source[1],384PP_AQ_BP,B1,Destination[1],A3,75.0
Source[1],384PP_AQ_BP,B8,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,B9,Destination[1],A3,125.0
Source[1],384PP_AQ_BP,D1,Destination[1],A3,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A3,75.0
Source[1],384PP_AQ_BP,D3,Destination[1],A3,125.0
Source[1],384PP_AQ_BP,A1,Destination[1],A4,2275.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,B9,Destination[1],A4,125.0
Source[1],384PP_AQ_BP,B11,Destination[1],A4,50.0
Source[1],384PP_AQ_BP,D1,Destination[1],A4,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,D3,Destination[1],A4,125.0
Source[1],384PP_AQ_BP,D19,Destination[1],A4,250.0
Source[1],384PP_AQ_BP,A1,Destination[1],A5,1425.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,75.0
Source[1],384PP_AQ_BP,B9,Destination[1],A5,125.0
Source[1],384PP_AQ_BP,B10,Destination[1],A5,800.0
Source[1],384PP_AQ_BP,D1,Destination[1],A5,25.0
Source[1],384PP_AQ_BP,D2,Destination[1],A5,75.0
Source[1],384PP_AQ_BP,D3,Destination[1],A5,125.0
Source[1],384PP_AQ_BP,D19,Destination[1],A5,250.0
