Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,600
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500
Source[1],384PP_AQ_BP,C1,Destination[1],A1,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A1,250
Source[1],384PP_AQ_BP,E1,Destination[1],A1,625
Source[1],384PP_AQ_BP,F1,Destination[1],A1,25
Source[1],384PP_AQ_BP,G1,Destination[1],A1,25
Source[1],384PP_AQ_BP,H1,Destination[1],A1,625
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750
Source[1],384PP_AQ_BP,J1,Destination[1],A1,500
Source[1],384PP_AQ_BP,A1,Destination[1],A2,600
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500
Source[1],384PP_AQ_BP,C1,Destination[1],A2,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A2,250
Source[1],384PP_AQ_BP,E1,Destination[1],A2,625
Source[1],384PP_AQ_BP,F1,Destination[1],A2,25
Source[1],384PP_AQ_BP,G1,Destination[1],A2,25
Source[1],384PP_AQ_BP,H1,Destination[1],A2,625
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750
Source[1],384PP_AQ_BP,J1,Destination[1],A2,500
Source[1],384PP_AQ_BP,A1,Destination[1],A3,600
Source[1],384PP_AQ_BP,B1,Destination[1],A3,500
Source[1],384PP_AQ_BP,C1,Destination[1],A3,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A3,250
Source[1],384PP_AQ_BP,E1,Destination[1],A3,625
Source[1],384PP_AQ_BP,F1,Destination[1],A3,25
Source[1],384PP_AQ_BP,G1,Destination[1],A3,25
Source[1],384PP_AQ_BP,H1,Destination[1],A3,625
Source[1],384PP_AQ_BP,I1,Destination[1],A3,750
Source[1],384PP_AQ_BP,J1,Destination[1],A3,500
Source[1],384PP_AQ_BP,A1,Destination[1],A4,600
Source[1],384PP_AQ_BP,B1,Destination[1],A4,500
Source[1],384PP_AQ_BP,D1,Destination[1],A4,250
Source[1],384PP_AQ_BP,E1,Destination[1],A4,625
Source[1],384PP_AQ_BP,F1,Destination[1],A4,25
Source[1],384PP_AQ_BP,G1,Destination[1],A4,25
Source[1],384PP_AQ_BP,H1,Destination[1],A4,625
Source[1],384PP_AQ_BP,I1,Destination[1],A4,750
Source[1],384PP_AQ_BP,J1,Destination[1],A4,500
Source[1],384PP_AQ_BP,K1,Destination[1],A4,250
Source[1],384PP_AQ_BP,A1,Destination[1],A5,600
Source[1],384PP_AQ_BP,B1,Destination[1],A5,500
Source[1],384PP_AQ_BP,D1,Destination[1],A5,250
Source[1],384PP_AQ_BP,E1,Destination[1],A5,625
Source[1],384PP_AQ_BP,F1,Destination[1],A5,25
Source[1],384PP_AQ_BP,G1,Destination[1],A5,25
Source[1],384PP_AQ_BP,H1,Destination[1],A5,625
Source[1],384PP_AQ_BP,I1,Destination[1],A5,750
Source[1],384PP_AQ_BP,J1,Destination[1],A5,500
Source[1],384PP_AQ_BP,K1,Destination[1],A5,250
Source[1],384PP_AQ_BP,A1,Destination[1],A6,600
Source[1],384PP_AQ_BP,B1,Destination[1],A6,500
Source[1],384PP_AQ_BP,D1,Destination[1],A6,250
Source[1],384PP_AQ_BP,E1,Destination[1],A6,625
Source[1],384PP_AQ_BP,F1,Destination[1],A6,25
Source[1],384PP_AQ_BP,G1,Destination[1],A6,25
Source[1],384PP_AQ_BP,H1,Destination[1],A6,625
Source[1],384PP_AQ_BP,I1,Destination[1],A6,750
Source[1],384PP_AQ_BP,J1,Destination[1],A6,500
Source[1],384PP_AQ_BP,K1,Destination[1],A6,250
Source[1],384PP_AQ_BP,A1,Destination[1],A7,600
Source[1],384PP_AQ_BP,B1,Destination[1],A7,500
Source[1],384PP_AQ_BP,C1,Destination[1],A7,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A7,250
Source[1],384PP_AQ_BP,E1,Destination[1],A7,625
Source[1],384PP_AQ_BP,F1,Destination[1],A7,25
Source[1],384PP_AQ_BP,G1,Destination[1],A7,25
Source[1],384PP_AQ_BP,I1,Destination[1],A7,750
Source[1],384PP_AQ_BP,J1,Destination[1],A7,500
Source[1],384PP_AQ_BP,K1,Destination[1],A7,250
Source[1],384PP_AQ_BP,A1,Destination[1],A8,600
Source[1],384PP_AQ_BP,B1,Destination[1],A8,500
Source[1],384PP_AQ_BP,C1,Destination[1],A8,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A8,250
Source[1],384PP_AQ_BP,E1,Destination[1],A8,625
Source[1],384PP_AQ_BP,F1,Destination[1],A8,25
Source[1],384PP_AQ_BP,G1,Destination[1],A8,25
Source[1],384PP_AQ_BP,I1,Destination[1],A8,750
Source[1],384PP_AQ_BP,J1,Destination[1],A8,500
Source[1],384PP_AQ_BP,K1,Destination[1],A8,250
Source[1],384PP_AQ_BP,A1,Destination[1],A9,600
Source[1],384PP_AQ_BP,B1,Destination[1],A9,500
Source[1],384PP_AQ_BP,C1,Destination[1],A9,1925
Source[1],384PP_AQ_BP,D1,Destination[1],A9,250
Source[1],384PP_AQ_BP,E1,Destination[1],A9,625
Source[1],384PP_AQ_BP,F1,Destination[1],A9,25
Source[1],384PP_AQ_BP,G1,Destination[1],A9,25
Source[1],384PP_AQ_BP,I1,Destination[1],A9,750
Source[1],384PP_AQ_BP,J1,Destination[1],A9,500
Source[1],384PP_AQ_BP,K1,Destination[1],A9,250
Source[1],384PP_AQ_BP,A1,Destination[1],B1,600
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500
Source[1],384PP_AQ_BP,C1,Destination[1],B1,1925
Source[1],384PP_AQ_BP,D1,Destination[1],B1,250
Source[1],384PP_AQ_BP,E1,Destination[1],B1,625
Source[1],384PP_AQ_BP,F1,Destination[1],B1,25
Source[1],384PP_AQ_BP,G1,Destination[1],B1,25
Source[1],384PP_AQ_BP,H1,Destination[1],B1,625
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750
Source[1],384PP_AQ_BP,J1,Destination[1],B1,500
Source[1],384PP_AQ_BP,K1,Destination[1],B1,25
Source[1],384PP_AQ_BP,A1,Destination[1],B2,600
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500
Source[1],384PP_AQ_BP,C1,Destination[1],B2,1925
Source[1],384PP_AQ_BP,D1,Destination[1],B2,250
Source[1],384PP_AQ_BP,E1,Destination[1],B2,625
Source[1],384PP_AQ_BP,F1,Destination[1],B2,25
Source[1],384PP_AQ_BP,G1,Destination[1],B2,25
Source[1],384PP_AQ_BP,H1,Destination[1],B2,625
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750
Source[1],384PP_AQ_BP,J1,Destination[1],B2,500
Source[1],384PP_AQ_BP,K1,Destination[1],B2,25
Source[1],384PP_AQ_BP,A1,Destination[1],B3,600
Source[1],384PP_AQ_BP,B1,Destination[1],B3,500
Source[1],384PP_AQ_BP,C1,Destination[1],B3,1925
Source[1],384PP_AQ_BP,D1,Destination[1],B3,250
Source[1],384PP_AQ_BP,E1,Destination[1],B3,625
Source[1],384PP_AQ_BP,F1,Destination[1],B3,25
Source[1],384PP_AQ_BP,G1,Destination[1],B3,25
Source[1],384PP_AQ_BP,H1,Destination[1],B3,625
Source[1],384PP_AQ_BP,I1,Destination[1],B3,750
Source[1],384PP_AQ_BP,J1,Destination[1],B3,500
Source[1],384PP_AQ_BP,K1,Destination[1],B3,25
Source[1],384PP_AQ_BP,A1,Destination[1],B4,600
Source[1],384PP_AQ_BP,B1,Destination[1],B4,500
