Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],K3,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],K3,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],K3,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],K3,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],K3,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],K3,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],K4,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],K4,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],K4,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],K4,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],K4,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],K4,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],L3,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],L3,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],L3,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],L3,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],L3,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],L3,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],L3,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],L4,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],L4,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],L4,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],L4,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],L4,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],L4,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],L4,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],M3,750.0
Source[1],384PP_AQ_BP,A1,Destination[1],M4,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],M4,150.0
Source[1],384PP_AQ_BP,P5,Destination[1],M4,75.0
Source[1],384PP_AQ_BP,P7,Destination[1],M4,450.0
Source[1],384PP_AQ_BP,A1,Destination[1],O4,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],O4,150.0
Source[1],384PP_AQ_BP,P5,Destination[1],O4,75.0
Source[1],384PP_AQ_BP,P7,Destination[1],O4,450.0
Source[1],384PP_AQ_BP,A1,Destination[1],N4,525.0
Source[1],384PP_AQ_BP,P3,Destination[1],N4,150.0
Source[1],384PP_AQ_BP,P5,Destination[1],N4,75.0
Source[1],384PP_AQ_BP,A1,Destination[1],P4,525.0
Source[1],384PP_AQ_BP,P3,Destination[1],P4,150.0
Source[1],384PP_AQ_BP,P5,Destination[1],P4,75.0
Source[1],384PP_AQ_BP,N24,Destination[1],K3,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],K4,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],L3,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],L4,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],M3,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],M4,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],O4,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],N4,2250.0
Source[1],384PP_AQ_BP,N24,Destination[1],P4,2250.0
