Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[2],6RES_AQ_BP2,A2,Destination[1],A1,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A2,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A3,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A4,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A5,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A6,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A7,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A8,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A9,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A10,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A11,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],A12,18150.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B1,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B2,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B3,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B4,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B5,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B6,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B7,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B8,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B9,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B10,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B11,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],B12,17650.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C1,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C2,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C3,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C4,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C5,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C6,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C7,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C8,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C9,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C10,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C11,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],C12,12500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D1,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D2,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D3,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D4,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D5,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D6,14325.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D7,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D8,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D9,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D10,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D11,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],D12,11825.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E1,18500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E2,19250.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E3,19625.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E4,19775.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E5,20000.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E7,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E8,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E9,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E10,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E11,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],E12,13500.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F7,13750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F8,13750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F9,13750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F10,13750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F11,13750.0
Source[2],6RES_AQ_BP2,A2,Destination[1],F12,13750.0
